Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending,Living_with,Children,Family_Size,is_parent,Total_Purchases,Total_Campaign_Accepted,Cluster_K2,Cluster_K4,K2_Description,K4_Description
Graduate,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,1617,Alone,0,1,0,22,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,27,Alone,2,3,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,776,Partner,0,2,0,20,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,53,Partner,1,3,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,422,Partner,1,3,1,14,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,716,Partner,1,3,1,20,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,590,Alone,1,2,1,17,0,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,169,Partner,1,3,1,8,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,46,Partner,1,3,1,5,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,49,Partner,2,4,1,1,1,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,61,Partner,0,2,0,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,1102,Alone,0,1,0,15,0,0,0,High Income – High Spending,High Income – High Spending
