Age,Gender,Item Purchased,Category,Spending,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Spending_Level,High_Spender,Age_Group,Discount_Used,Cluster_K8,PCA1,PCA2,Customer_Persona,Anomaly_Flag,Anomaly
55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,14,Venmo,1,Medium,0,Middle_Aged,1,2,1.9637357667815452,0.19789683746009087,Family-Oriented Value Buyers,1,Normal
19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,2,Cash,1,High,1,Youth,1,4,0.911385250271529,1.604923571927109,Deal-Driven Shoppers,-1,Anomaly
50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,23,Credit Card,2,High,1,Adult,1,0,0.8250386348104923,1.8773674239132818,Deal-Driven Shoppers,1,Normal
21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,49,PayPal,2,Very_High,1,Youth,1,0,0.5327334712695578,2.366911253229829,High-Value Premium Buyers,1,Normal
45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,31,PayPal,3,Medium,0,Adult,1,2,2.0702272737379936,0.111547629021192,Family-Oriented Value Buyers,1,Normal
46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,14,Venmo,2,Low,0,Adult,1,6,2.56556811732948,-0.6161388815274625,Price-Sensitive Budget Shoppers,1,Normal
63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,49,Cash,4,Very_High,1,Middle_Aged,1,0,0.6428258553735599,2.2210580184316813,High-Value Premium Buyers,1,Normal
27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,19,Credit Card,2,Low,0,Young_Adult,1,6,2.262810459083743,-0.2375677231606968,Price-Sensitive Budget Shoppers,1,Normal
26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,8,Venmo,3,Very_High,1,Young_Adult,1,4,0.42526240149613476,2.3806187196437145,High-Value Premium Buyers,1,Normal
57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,4,Cash,4,Low,0,Middle_Aged,1,6,2.217713919442661,-0.27853171473907007,Price-Sensitive Budget Shoppers,1,Normal
53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,26,Bank Transfer,5,Low,0,Middle_Aged,1,2,2.2371957455517646,-0.1588293914414503,Price-Sensitive Budget Shoppers,1,Normal
30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,10,Bank Transfer,1,High,1,Young_Adult,1,4,0.7516059876497464,1.8416582512673507,Deal-Driven Shoppers,1,Normal
61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,37,Venmo,1,High,1,Middle_Aged,1,0,0.8135020483666465,1.9470920456780711,Deal-Driven Shoppers,1,Normal
65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,31,PayPal,2,Medium,0,Middle_Aged,1,2,1.9477132020266608,0.2670083880786315,Family-Oriented Value Buyers,1,Normal
